id,handle,text,is_retweet,original_author,time,lang,retweet_count,favorite_count
780916180899037184,HillaryClinton,"Last night, Donald Trump said not paying taxes was ""smart."" You know what I call it? Unpatriotic. https://t.co/t0xmBfj7zF",True,timkaine,2016-09-27T23:45:00,en,2445,5308
780911564857761793,HillaryClinton,Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,True,POTUS,2016-09-27T23:26:40,en,7834,27234
780874710049550336,HillaryClinton,3) Has Trump offered a single proposal to reduce the friction of starting a business. @HillaryClinton has https://t.co/OhFAFEFsUq,True,mcuban,2016-09-27T21:00:13,en,1087,2824
780869063648153601,HillaryClinton,"The election is just weeks away. Check if you're registered to vote at https://t.co/HcMAh8ljR0, only takes a few cl… https://t.co/H1H7hAA4XM",True,ddlovato,2016-09-27T20:37:47,en,3347,7698
780819344553107456,HillaryClinton,So. Everything you're feeling after #Debates2016? It's #NationalVoterRegistrationDay. PLEASE:… https://t.co/YnOtJL8bW7,True,shondarhimes,2016-09-27T17:20:13,en,1328,2435
780806581650878464,HillaryClinton,Register and vote for Democrats like @HillaryClinton and @KatieMcGintyPA: https://t.co/tu6W6eS9xR #iRegistered… https://t.co/9ovdecqadN,True,JoeBiden,2016-09-27T16:29:30,en,1235,3206
780805211472486401,HillaryClinton,I've been fortunate to meet young Americans from all over the country. We all make choices. This is mine...… https://t.co/bYoUE91TOO,True,AndrewJenks,2016-09-27T16:24:03,en,804,2086
780800117867683841,HillaryClinton,"Today is #NationalVoterRegistrationDay - I was beaten, left bloody &amp; unconscious so that every person could register and vote. Do your part.",True,repjohnlewis,2016-09-27T16:03:49,en,20006,24333
780799428269670400,HillaryClinton,More than 70 million Americans aren't registered to vote. We have to do better! Get registered &amp; spread the word: https://t.co/IobF5PQ7jv,True,jasoncollins98,2016-09-27T16:01:04,en,1138,1554
780637326921830400,HillaryClinton,"Tonight, @HillaryClinton proved she is ready to be President — and Donald Trump proved he is not. #debatenight https://t.co/Zeq5iF09Bc",True,JoeBiden,2016-09-27T05:16:56,en,10733,30012
780616114120294400,HillaryClinton,.@timkaine That's what we @Wellesley girls do! And it's so clear @HillaryClinton is the only candidate prepared to be president #debatenight,True,madeleine,2016-09-27T03:52:39,en,3229,10833
780607486516690944,HillaryClinton,Hillary Clinton did what she needed to do: https://t.co/OhN5ZjCu2G https://t.co/4P3f6pNXB3,True,TheAtlantic,2016-09-27T03:18:22,en,2277,6913
780606592337252352,HillaryClinton,"Tonight, we heard from two candidates -- but only one president. #ImWithHer",True,ChadHGriffin,2016-09-27T03:14:49,en,7576,20896
780606012667691008,HillaryClinton,"""Hillary won big time. It was a shut out."" -- @HardballChris #debatenight",True,hardball,2016-09-27T03:12:31,en,4682,12991
780603720191148032,HillaryClinton,Clinton won this debate in part because she had more stamina for this than Trump. He flagged badly after 30 minutes. She didn't.,True,ezraklein,2016-09-27T03:03:24,en,8546,22141
780593967737999361,HillaryClinton,"Donald Trump says he has better temperament than Hillary Clinton.

Fact check: He is Donald Trump. 

#debate",True,TheBriefing2016,2016-09-27T02:24:39,en,5646,10367
780592014639456256,HillaryClinton,This is... still not true! #debate https://t.co/6SKFZunCL5,True,TheBriefing2016,2016-09-27T02:16:53,en,1387,2339
780591186046222336,HillaryClinton,Trump's top Russia advisor is being probed for meeting with the Kremlin aide in charge of US election intelligence.  https://t.co/GN5Gg4ug0L,True,TheBriefing2016,2016-09-27T02:13:36,en,1213,1638
780589100483145728,HillaryClinton,This is just one of the business practices that led to Donald Trump being sued for discrimination. #Debate… https://t.co/PoXvMnGfCy,True,TheBriefing2016,2016-09-27T02:05:18,en,1523,1946
780585761309659136,HillaryClinton,How Hillary Clinton Took Charge In The First Presidential Debate https://t.co/4gwtCnACV0,True,BuzzFeedBen,2016-09-27T01:52:02,en,1259,2676
780581355633700864,HillaryClinton,"No legit reason @realDonaldTrump can't release returns while being audited, but if scared, release earlier returns no longer under audit.",True,MittRomney,2016-09-27T01:34:32,en,11973,15567
780579726389809152,HillaryClinton,"In the spirit of friendship, here's Donald Trump's ISIS plan for your consideration. #debate https://t.co/YCXFWZyiGA",True,TheBriefing2016,2016-09-27T01:28:03,en,4128,5914
780576756713549824,HillaryClinton,"Donald Trump seems to think $15 million is a ""small loan."" #debate https://t.co/Bo3HOhdR92 https://t.co/K5bCPX3ujx",True,TheBriefing2016,2016-09-27T01:16:15,en,1738,2478
780575993593524224,HillaryClinton,How many Trump products were made overseas? Here’s the complete list. https://t.co/OdJOZeZau0,True,washingtonpost,2016-09-27T01:13:13,en,1656,1563
780528788102864896,HillaryClinton,Study: Donald Trump would raise taxes on millions of middle-class families https://t.co/NmTl8m1R1G https://t.co/INemC8Roms,True,oneVoxdotcom,2016-09-26T22:05:39,en,1505,1763
780472397694693376,HillaryClinton,Hillary Clinton has a $10 billion plan to stop the heroin epidemic. Donald Trump has some slogans. https://t.co/tN8jGGWrvn,True,voxdotcom,2016-09-26T18:21:34,en,1218,2365
780427115325980672,HillaryClinton,"This job takes maturity, compassion, and wisdom. Only one candidate has what it takes. #DebateNight https://t.co/TAA1qZUdtq",True,timkaine,2016-09-26T15:21:38,en,2967,7022
780149449171603456,HillaryClinton,The NYT Editorial Board says Donald Trump should not be president. Here's why. https://t.co/aQ0NZm19Hx via @nytopinion,True,nytimes,2016-09-25T20:58:17,en,4288,5959
780146068990357508,HillaryClinton,Take it from those who have been there - Trump is not ready for the responsibility of being president: https://t.co/MCmcwcOwju,True,JoeBiden,2016-09-25T20:44:51,en,7563,12670
780094699264770048,HillaryClinton,This war hero's Gold Star parents want you to know why they're backing .@HillaryClinton for president… https://t.co/6vEh87N02B,True,MilitaryTimes,2016-09-25T17:20:44,en,1516,2897
780088306314928128,HillaryClinton,"Once again, Trump's own words are the best evidence he's not fit to be president. https://t.co/D3Ox56zt1k",True,TheBriefing2016,2016-09-25T16:55:20,en,2620,4385
779714455525556224,HillaryClinton,The NYT Editorial Board endorses Hillary Clinton for president https://t.co/aSQ7lkaR6w via @nytopinion https://t.co/Zm4O1AcVS2,True,nytimes,2016-09-24T16:09:47,en,4585,8232
779485052216471552,HillaryClinton,Tell a girl to run - for office! #DeclareYourAmbition at https://t.co/Gcthrb8QwO https://t.co/AAIOYi1hFA,True,IGNITE_National,2016-09-24T00:58:13,en,1464,2652
